Hit: 0, Latency: 0.214913s, Status Code: 200
Hit: 1, Latency: 0.208334s, Status Code: 200
Hit: 3, Latency: 0.42227s, Status Code: 200
Hit: 4, Latency: 0.628353s, Status Code: 200
Hit: 11, Latency: 0.833152s, Status Code: 200
Hit: 6, Latency: 1.03645s, Status Code: 200
Hit: 2, Latency: 1.244037s, Status Code: 200
Hit: 14, Latency: 1.445869s, Status Code: 200
Hit: 15, Latency: 1.650137s, Status Code: 200
Hit: 13, Latency: 1.857768s, Status Code: 200
Hit: 9, Latency: 2.06533s, Status Code: 200
Hit: 5, Latency: 2.270969s, Status Code: 200
Hit: 8, Latency: 2.476009s, Status Code: 200
Hit: 10, Latency: 2.683126s, Status Code: 200
Hit: 12, Latency: 2.887605s, Status Code: 200
Hit: 7, Latency: 3.094517s, Status Code: 200
Hit: 17, Latency: 1.795915s, Status Code: 200
Hit: 16, Latency: 2.003108s, Status Code: 200
Hit: 18, Latency: 2.207993s, Status Code: 200
Hit: 19, Latency: 2.414971s, Status Code: 200
Hit: 20, Latency: 2.620227s, Status Code: 200
Hit: 21, Latency: 2.827543s, Status Code: 200
Hit: 22, Latency: 3.03461s, Status Code: 200
Hit: 32, Latency: 1.833852s, Status Code: 200
Hit: 31, Latency: 2.039882s, Status Code: 200
Hit: 33, Latency: 2.245649s, Status Code: 200
Hit: 34, Latency: 2.451379s, Status Code: 200
Hit: 35, Latency: 2.657049s, Status Code: 200
Hit: 36, Latency: 2.862878s, Status Code: 200
Hit: 37, Latency: 3.069764s, Status Code: 200
Hit: 45, Latency: 1.963005s, Status Code: 200
Hit: 46, Latency: 2.169152s, Status Code: 200
Hit: 47, Latency: 2.376092s, Status Code: 200
Hit: 48, Latency: 2.583351s, Status Code: 200
Hit: 49, Latency: 2.790541s, Status Code: 200
Hit: 50, Latency: 2.99797s, Status Code: 200
Hit: 59, Latency: 2.093447s, Status Code: 200
Hit: 58, Latency: 2.300951s, Status Code: 200
Hit: 60, Latency: 2.504683s, Status Code: 200
Hit: 61, Latency: 2.711983s, Status Code: 200
Hit: 62, Latency: 2.917453s, Status Code: 200
Hit: 30, Latency: 6.96551s, Status Code: 200
Hit: 23, Latency: 7.168963s, Status Code: 200
Hit: 29, Latency: 7.375202s, Status Code: 200
Hit: 26, Latency: 7.578622s, Status Code: 200
Hit: 25, Latency: 7.782867s, Status Code: 200
Hit: 27, Latency: 7.988662s, Status Code: 200
Hit: 28, Latency: 8.191433s, Status Code: 200
