Hit: 0, Latency: 0.207387s, Status Code: 200
Hit: 1, Latency: 0.208363s, Status Code: 200
Hit: 2, Latency: 0.413733s, Status Code: 200
Hit: 3, Latency: 0.616063s, Status Code: 200
Hit: 4, Latency: 0.820895s, Status Code: 200
Hit: 5, Latency: 1.0222s, Status Code: 200
Hit: 6, Latency: 1.222059s, Status Code: 200
Hit: 8, Latency: 0.457481s, Status Code: 200
Hit: 9, Latency: 0.661652s, Status Code: 200
Hit: 7, Latency: 0.868443s, Status Code: 200
Hit: 10, Latency: 1.074283s, Status Code: 200
Hit: 16, Latency: 1.050876s, Status Code: 200
Hit: 19, Latency: 0.325395s, Status Code: 200
Hit: 20, Latency: 0.531209s, Status Code: 200
Hit: 22, Latency: 0.736654s, Status Code: 200
Hit: 21, Latency: 0.942315s, Status Code: 200
Hit: 23, Latency: 1.147958s, Status Code: 200
Hit: 14, Latency: 2.512107s, Status Code: 200
Hit: 13, Latency: 2.718727s, Status Code: 200
Hit: 11, Latency: 2.925729s, Status Code: 200
Hit: 12, Latency: 3.132477s, Status Code: 200
Hit: 15, Latency: 3.337864s, Status Code: 200
Hit: 17, Latency: 3.311259s, Status Code: 200
Hit: 18, Latency: 3.516183s, Status Code: 200
Hit: 28, Latency: 2.169582s, Status Code: 200
Hit: 29, Latency: 2.37525s, Status Code: 200
Hit: 30, Latency: 2.581337s, Status Code: 200
Hit: 34, Latency: 2.396906s, Status Code: 200
Hit: 35, Latency: 2.599823s, Status Code: 200
Hit: 25, Latency: 3.822628s, Status Code: 200
Hit: 24, Latency: 4.028818s, Status Code: 200
Hit: 26, Latency: 4.235072s, Status Code: 200
Hit: 27, Latency: 4.440573s, Status Code: 200
Hit: 39, Latency: 3.158382s, Status Code: 200
Hit: 38, Latency: 3.364074s, Status Code: 200
Hit: 44, Latency: 2.825709s, Status Code: 200
Hit: 43, Latency: 3.032467s, Status Code: 200
Hit: 45, Latency: 3.237443s, Status Code: 200
Hit: 46, Latency: 3.442887s, Status Code: 200
Hit: 50, Latency: 3.347973s, Status Code: 200
Hit: 55, Latency: 3.244434s, Status Code: 200
Hit: 53, Latency: 3.448023s, Status Code: 200
Hit: 56, Latency: 3.441504s, Status Code: 200
Hit: 60, Latency: 3.343866s, Status Code: 200
Hit: 61, Latency: 3.465836s, Status Code: 200
Hit: 31, Latency: 6.486672s, Status Code: 200
Hit: 33, Latency: 6.692362s, Status Code: 200
Hit: 32, Latency: 6.897882s, Status Code: 200
Hit: 36, Latency: 6.709626s, Status Code: 200
Hit: 37, Latency: 6.913773s, Status Code: 200
